time,milliseconds,measurement,value,field,type,host,device,platform
15:46:34:712,17487,IMU,-142,gz,gyration,Name,Device1,Android
15:46:34:735,17510,IMU,2922,mx,magnet,Name,Device1,Android
15:46:34:735,17510,IMU,-6396,my,magnet,Name,Device1,Android
15:46:34:735,17510,IMU,3205,mz,magnet,Name,Device1,Android
15:46:34:757,17532,sensor,649,a0,adc,Name,Device1,Android
15:46:34:779,17554,IMU,-539,ax,acceleration,Name,Device1,Android
15:46:34:779,17554,IMU,988,ay,acceleration,Name,Device1,Android
15:46:34:779,17554,IMU,254,az,acceleration,Name,Device1,Android
15:46:34:802,17577,IMU,48,gx,gyration,Name,Device1,Android
15:46:34:802,17577,IMU,-38,gy,gyration,Name,Device1,Android
15:46:34:802,17577,IMU,-42,gz,gyration,Name,Device1,Android
15:46:34:825,17600,IMU,3135,mx,magnet,Name,Device1,Android
15:46:34:825,17600,IMU,-6388,my,magnet,Name,Device1,Android
15:46:34:825,17600,IMU,3319,mz,magnet,Name,Device1,Android
15:46:34:847,17622,sensor,629,a0,adc,Name,Device1,Android
15:46:34:876,17651,IMU,-495,ax,acceleration,Name,Device1,Android
15:46:34:876,17651,IMU,848,ay,acceleration,Name,Device1,Android
15:46:34:876,17651,IMU,-2,az,acceleration,Name,Device1,Android
15:46:34:892,17668,IMU,-16,gx,gyration,Name,Device1,Android
15:46:34:892,17668,IMU,15,gy,gyration,Name,Device1,Android
15:46:34:892,17668,IMU,34,gz,gyration,Name,Device1,Android
15:46:34:915,17690,IMU,3091,mx,magnet,Name,Device1,Android
15:46:34:915,17690,IMU,-6396,my,magnet,Name,Device1,Android
15:46:34:915,17690,IMU,3248,mz,magnet,Name,Device1,Android
15:46:34:937,17712,sensor,600,a0,adc,Name,Device1,Android
15:46:34:970,17745,IMU,-362,ax,acceleration,Name,Device1,Android
15:46:34:970,17745,IMU,945,ay,acceleration,Name,Device1,Android
15:46:34:970,17745,IMU,-113,az,acceleration,Name,Device1,Android
15:46:34:993,17768,IMU,-17,gx,gyration,Name,Device1,Android
15:46:34:993,17768,IMU,-4,gy,gyration,Name,Device1,Android
15:46:34:993,17768,IMU,85,gz,gyration,Name,Device1,Android
